communityname,fold,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumIlleg,PctIlleg,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,RentLowQ,RentMedian,RentHighQ,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LandArea,PopDens,PctUsePubTrans,LemasPctOfficDrugUn,ViolentCrimesPerPop,state_1,state_2,state_4,state_5,state_6,state_8,state_9,state_10,state_11,state_12,state_13,state_16,state_18,state_19,state_20,state_21,state_22,state_23,state_24,state_25,state_27,state_28,state_29,state_32,state_33,state_34,state_35,state_36,state_37,state_38,state_39,state_40,state_41,state_42,state_44,state_45,state_46,state_47,state_48,state_49,state_50,state_51,state_53,state_54,state_55,state_56,>0.06black,high_crime
Waukeshacity,6,0.08,0.45,0.01,0.93,0.08,0.11,0.44,0.57,0.36,0.28,0.09,1.0,0.4,0.7,0.14,0.66,0.36,0.23,0.39,0.41,0.33,0.33,0.27,0.13,0.26,0.31,0.03,0.15,0.2,0.24,0.4,0.14,0.73,0.61,0.43,0.42,0.44,0.46,0.46,0.47,0.48,0.51,0.7,0.74,0.73,0.63,0.64,0.71,0.02,0.17,0.01,0.19,0.21,0.28,0.4,0.04,0.04,0.05,0.06,0.87,0.08,0.19,0.18,0.45,0.6,0.29,0.53,0.1,0.53,0.5,0.04,0.87,0.45,0.03,0.09,0.63,0.08,0.26,0.18,0.17,0.15,0.42,0.42,0.47,0.41,0.41,0.46,0.37,0.01,0.0,0.09,0.78,0.45,0.64,0.76,0.05,0.27,0.08,0.0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Beavertoncity,3,0.07,0.31,0.02,0.84,0.47,0.06,0.32,0.51,0.28,0.26,0.08,1.0,0.37,0.73,0.19,0.59,0.26,0.14,0.32,0.41,0.41,0.41,0.29,0.26,0.28,0.34,0.03,0.16,0.09,0.12,0.58,0.19,0.75,0.43,0.35,0.24,0.57,0.55,0.4,0.69,0.66,0.4,0.65,0.72,0.74,0.63,0.5,0.56,0.01,0.13,0.03,0.37,0.45,0.55,0.62,0.25,0.27,0.3,0.31,0.81,0.11,0.14,0.12,0.34,0.5,0.26,0.4,0.13,0.59,0.0,0.1,0.67,0.34,0.03,0.03,0.79,0.09,0.1,0.21,0.19,0.19,0.42,0.41,0.46,0.39,0.38,0.42,0.47,0.0,0.0,0.29,0.35,0.23,0.3,0.34,0.04,0.32,0.28,0.0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PortHuenemecity,7,0.02,0.63,0.11,0.6,0.42,0.55,0.45,0.63,0.42,0.31,0.03,1.0,0.36,0.56,0.17,0.44,0.4,0.41,0.58,0.33,0.29,0.32,0.27,0.2,0.26,0.3,0.01,0.22,0.32,0.35,0.24,0.28,0.65,0.3,0.27,0.35,0.38,0.58,0.57,0.67,0.64,0.65,0.59,0.58,0.63,0.51,0.68,0.57,0.01,0.28,0.02,0.2,0.35,0.43,0.43,0.22,0.33,0.37,0.34,0.52,0.37,0.58,0.52,0.6,0.43,0.75,0.25,0.63,0.64,0.0,0.04,0.59,0.34,0.0,0.14,0.63,0.08,0.07,0.51,0.48,0.44,0.64,0.65,0.75,0.64,0.65,0.84,0.24,0.0,0.0,0.45,0.35,0.3,0.4,0.39,0.01,0.38,0.07,0.0,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Speedwaytown,9,0.0,0.13,0.11,0.9,0.05,0.01,0.27,0.46,0.31,0.68,0.02,1.0,0.3,0.5,0.1,0.57,0.6,0.12,0.76,0.35,0.38,0.38,0.28,0.36,0.2,0.4,0.01,0.15,0.17,0.23,0.27,0.1,0.6,0.33,0.46,0.34,0.41,0.72,0.36,0.67,0.73,0.19,0.49,0.55,0.74,0.49,0.79,0.8,0.0,0.13,0.0,0.0,0.3,0.24,0.3,0.0,0.03,0.02,0.02,0.96,0.03,0.03,0.03,0.15,0.26,0.13,0.4,0.04,0.75,0.0,0.02,0.78,0.35,0.0,0.12,0.5,0.13,0.06,0.15,0.12,0.1,0.35,0.31,0.32,0.31,0.28,0.06,0.21,0.0,0.0,0.04,0.77,0.44,0.69,0.78,0.01,0.23,0.09,0.0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Fairmontcity,5,0.02,0.27,0.13,0.89,0.02,0.01,0.5,0.46,0.43,0.75,0.0,0.0,0.11,0.14,0.17,0.46,0.8,0.47,0.87,0.19,0.19,0.19,0.16,0.07,0.1,0.27,0.04,0.58,0.36,0.44,0.25,0.95,0.1,0.27,0.52,0.39,0.4,0.52,0.44,0.44,0.49,0.31,0.52,0.54,0.49,0.52,0.32,0.35,0.01,0.31,0.0,0.47,0.41,0.33,0.37,0.06,0.04,0.03,0.03,0.95,0.03,0.11,0.1,0.25,0.27,0.24,0.59,0.04,0.55,0.0,0.07,0.46,0.58,0.38,0.87,0.13,0.5,0.2,0.05,0.05,0.06,0.08,0.11,0.12,0.13,0.7,0.22,0.42,0.02,0.0,0.05,0.84,0.69,0.74,0.8,0.02,0.22,0.04,0.0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Yarmouthtown,1,0.02,0.21,0.02,0.97,0.02,0.02,0.21,0.26,0.16,1.0,0.03,0.99,0.26,0.12,0.15,0.57,0.92,0.33,1.0,0.29,0.34,0.33,0.11,0.17,0.16,0.26,0.02,0.24,0.08,0.22,0.35,0.51,0.21,0.12,0.34,0.27,0.36,0.36,0.29,0.45,0.43,0.19,0.44,0.55,0.51,0.4,0.44,0.54,0.01,0.15,0.01,0.33,0.31,0.3,0.3,0.12,0.1,0.09,0.08,0.88,0.04,0.1,0.09,0.23,0.19,0.32,0.66,0.05,0.58,0.0,0.34,0.0,0.69,0.02,0.74,0.65,0.06,0.05,0.4,0.37,0.36,0.5,0.58,0.61,0.65,0.9,0.65,0.58,0.01,0.0,0.15,0.7,0.58,0.67,0.69,0.07,0.07,0.05,0.0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenvillecity,10,0.06,0.59,1.0,0.08,0.02,0.01,0.55,0.51,0.33,0.38,0.0,0.0,0.11,0.39,0.19,0.17,0.55,0.91,0.3,0.14,0.13,0.31,0.14,0.04,0.27,0.18,0.13,0.85,0.64,0.68,0.24,0.87,0.28,0.45,0.46,0.56,0.34,0.63,0.54,0.63,0.66,0.74,0.19,0.12,0.19,0.18,0.65,0.64,0.12,1.0,0.0,0.46,0.57,0.63,0.54,0.02,0.02,0.02,0.02,0.97,0.01,0.64,0.59,0.63,0.58,0.69,0.46,0.45,0.49,0.5,0.06,0.72,0.49,0.93,0.46,0.54,0.66,0.48,0.05,0.05,0.06,0.05,0.11,0.14,0.17,0.84,0.44,0.68,0.0,0.0,0.01,0.9,0.68,0.85,0.82,0.07,0.14,0.01,0.0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Radnortownship,4,0.03,0.58,0.06,0.9,0.22,0.03,0.89,0.74,0.79,0.42,0.05,1.0,0.66,0.58,0.44,0.85,0.49,0.14,0.5,0.85,0.8,0.8,0.26,0.14,0.63,0.57,0.01,0.13,0.08,0.09,0.96,0.17,0.38,0.21,0.89,0.06,0.9,0.12,0.8,0.2,0.17,0.44,0.88,0.88,0.93,0.75,0.35,0.32,0.0,0.04,0.01,0.26,0.3,0.33,0.36,0.14,0.13,0.14,0.14,0.85,0.04,0.19,0.17,0.37,0.54,0.1,0.67,0.03,0.41,0.5,0.04,0.72,0.55,0.01,0.47,0.4,0.03,0.16,0.54,0.72,0.85,0.73,0.67,0.76,0.67,0.65,0.37,0.51,0.0,0.0,0.22,0.53,0.5,0.33,0.36,0.04,0.17,0.74,0.0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LosAlamitoscity,7,0.0,0.54,0.06,0.77,0.44,0.23,0.41,0.57,0.35,0.29,0.02,1.0,0.55,0.73,0.3,0.57,0.3,0.09,0.47,0.49,0.49,0.49,0.29,0.37,0.46,0.49,0.0,0.1,0.17,0.22,0.47,0.23,0.64,0.37,0.43,0.25,0.59,0.56,0.51,0.68,0.65,0.5,0.58,0.66,0.81,0.69,0.45,0.52,0.0,0.17,0.01,0.2,0.29,0.43,0.42,0.17,0.22,0.29,0.26,0.7,0.09,0.28,0.26,0.54,0.54,0.56,0.27,0.27,0.58,0.0,0.01,0.87,0.29,0.23,0.13,0.58,0.05,0.21,0.79,0.81,0.81,0.87,0.8,0.9,0.79,0.49,0.39,0.18,0.01,0.0,0.36,0.42,0.41,0.32,0.51,0.01,0.24,0.01,0.0,0.15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washingtoncity,6,0.96,0.32,1.0,0.0,0.11,0.1,0.39,0.56,0.41,0.41,0.96,1.0,0.32,0.56,0.17,0.37,0.33,0.43,0.53,0.33,0.47,0.98,0.32,0.24,0.38,0.45,0.88,0.44,0.33,0.46,0.54,0.44,0.5,0.06,0.7,0.19,0.66,0.76,0.91,0.69,0.75,0.51,0.0,0.0,0.12,0.0,0.63,0.64,1.0,1.0,0.39,0.57,0.64,0.69,0.69,0.39,0.38,0.37,0.34,0.79,0.16,0.49,0.31,0.27,0.37,0.27,0.24,0.38,0.76,0.0,1.0,0.57,0.23,1.0,0.55,0.17,0.25,0.47,0.25,0.29,0.54,0.33,0.39,0.53,0.35,0.44,0.41,0.37,1.0,0.3,0.29,0.36,0.57,0.61,0.33,0.18,0.83,1.0,0.45,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Bedfordcity,5,0.01,0.31,0.01,0.99,0.02,0.0,0.35,0.38,0.24,0.68,0.0,0.0,0.2,0.29,0.27,0.46,0.71,0.22,0.68,0.22,0.24,0.23,0.19,0.03,0.29,0.18,0.01,0.29,0.36,0.53,0.16,0.36,0.29,0.57,0.46,0.67,0.34,0.55,0.23,0.56,0.58,0.33,0.61,0.61,0.67,0.71,0.62,0.46,0.0,0.05,0.0,0.35,0.26,0.46,0.61,0.01,0.01,0.02,0.02,0.98,0.02,0.1,0.1,0.29,0.32,0.26,0.66,0.08,0.62,0.0,0.02,0.75,0.64,0.17,0.6,0.21,0.56,0.33,0.04,0.04,0.05,0.09,0.14,0.13,0.13,0.35,0.16,0.28,0.0,0.0,0.01,0.86,0.61,0.77,0.82,0.03,0.1,0.02,0.0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SouthJordancity,10,0.0,1.0,0.0,0.98,0.05,0.04,0.73,0.51,0.28,0.08,0.02,1.0,0.53,0.87,0.96,0.48,0.19,0.13,0.31,0.46,0.19,0.18,0.0,0.24,0.25,0.22,0.0,0.07,0.05,0.13,0.36,0.15,0.7,0.32,0.39,0.32,0.46,0.06,0.34,0.09,0.08,1.0,0.99,0.98,0.96,0.94,0.27,0.36,0.0,0.04,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.96,0.05,1.0,1.0,1.0,1.0,1.0,0.94,0.22,0.08,1.0,0.0,0.96,0.93,0.55,0.78,0.83,0.04,0.24,0.22,0.2,0.2,0.24,0.3,0.44,0.4,0.22,0.58,0.37,0.0,0.0,0.03,0.79,0.54,0.84,0.78,0.06,0.05,0.07,0.0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Naugatucktown,10,0.03,0.46,0.04,0.95,0.05,0.06,0.36,0.49,0.28,0.39,0.05,1.0,0.47,0.66,0.08,0.55,0.44,0.15,0.57,0.48,0.4,0.38,0.42,0.15,0.24,0.44,0.01,0.1,0.32,0.37,0.26,0.3,0.66,0.69,0.33,0.5,0.37,0.37,0.39,0.37,0.38,0.54,0.77,0.78,0.84,0.71,0.55,0.61,0.01,0.13,0.02,0.31,0.31,0.32,0.33,0.2,0.17,0.16,0.15,0.74,0.14,0.2,0.19,0.51,0.58,0.35,0.66,0.08,0.5,0.5,0.03,0.81,0.61,0.06,0.56,0.5,0.05,0.0,0.38,0.35,0.32,0.39,0.43,0.48,0.48,0.35,0.65,0.6,0.01,0.0,0.26,0.72,0.61,0.72,0.75,0.05,0.16,0.04,0.0,0.03,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheffieldcity,2,0.0,0.31,0.46,0.63,0.01,0.0,0.37,0.41,0.29,0.68,0.02,1.0,0.14,0.35,0.26,0.26,0.71,0.54,0.61,0.19,0.19,0.22,0.17,0.2,0.34,0.4,0.02,0.55,0.52,0.6,0.2,0.48,0.31,0.5,0.39,0.68,0.28,0.56,0.29,0.53,0.57,0.38,0.44,0.39,0.54,0.37,0.51,0.54,0.01,0.5,0.0,1.0,0.98,0.95,0.81,0.06,0.04,0.03,0.03,0.98,0.03,0.21,0.19,0.34,0.3,0.43,0.56,0.1,0.48,0.5,0.02,0.67,0.59,0.18,0.58,0.31,0.52,0.27,0.06,0.05,0.07,0.0,0.06,0.06,0.09,0.57,0.21,0.42,0.0,0.0,0.01,0.81,0.74,0.82,0.84,0.02,0.13,0.01,0.0,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Torrancecity,2,0.2,0.37,0.03,0.59,1.0,0.19,0.31,0.44,0.26,0.38,0.21,1.0,0.59,0.67,0.22,0.61,0.34,0.19,0.43,0.61,0.58,0.6,0.6,0.37,0.46,0.53,0.06,0.12,0.13,0.19,0.5,0.2,0.62,0.59,0.29,0.17,0.63,0.5,0.48,0.54,0.54,0.43,0.72,0.73,0.86,0.65,0.44,0.45,0.03,0.11,0.2,0.52,0.56,0.61,0.62,0.81,0.76,0.76,0.7,0.53,0.37,0.2,0.18,0.41,0.48,0.35,0.49,0.29,0.58,0.0,0.12,0.85,0.46,0.12,0.18,0.46,0.07,0.16,0.92,0.94,0.93,0.77,0.75,0.92,0.75,0.52,0.57,0.15,0.0,0.04,0.66,0.38,0.51,0.73,0.6,0.06,0.54,0.09,0.42,0.26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Laconiacity,8,0.01,0.39,0.0,0.99,0.05,0.01,0.38,0.44,0.27,0.48,0.0,0.0,0.29,0.55,0.05,0.48,0.51,0.3,0.51,0.32,0.33,0.32,0.0,0.11,0.27,0.61,0.01,0.21,0.29,0.39,0.27,0.5,0.49,0.46,0.38,0.4,0.35,0.63,0.38,0.61,0.64,0.44,0.57,0.61,0.53,0.71,0.64,0.7,0.01,0.21,0.0,0.04,0.04,0.07,0.13,0.01,0.01,0.01,0.02,0.86,0.03,0.21,0.19,0.39,0.45,0.34,0.49,0.08,0.54,0.5,0.11,0.0,0.47,0.03,0.58,0.25,0.46,0.22,0.25,0.25,0.27,0.36,0.38,0.42,0.38,0.59,0.55,0.64,0.0,0.0,0.09,0.6,0.56,0.69,0.66,0.06,0.06,0.02,0.0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Rockledgecity,4,0.01,0.43,0.27,0.76,0.09,0.04,0.32,0.38,0.21,0.5,0.03,1.0,0.38,0.61,0.1,0.55,0.5,0.11,0.76,0.38,0.36,0.36,0.35,0.16,0.25,0.51,0.01,0.14,0.13,0.23,0.33,0.32,0.57,0.41,0.43,0.27,0.53,0.54,0.26,0.54,0.56,0.37,0.68,0.66,0.68,0.59,0.66,0.71,0.0,0.11,0.0,0.24,0.22,0.28,0.29,0.08,0.06,0.07,0.07,0.9,0.05,0.17,0.18,0.45,0.43,0.44,0.75,0.1,0.29,0.5,0.02,0.74,0.75,0.09,0.36,0.69,0.12,0.05,0.16,0.14,0.13,0.41,0.41,0.4,0.43,0.38,0.43,0.17,0.0,0.0,0.13,0.22,0.43,0.59,0.45,0.03,0.14,0.03,0.0,0.23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
RanchoPalosVerdescity,4,0.05,0.51,0.04,0.64,1.0,0.1,0.38,0.32,0.23,0.39,0.07,1.0,1.0,0.71,0.43,0.84,0.34,0.07,0.62,1.0,1.0,1.0,0.93,0.22,0.64,0.89,0.01,0.07,0.05,0.05,0.88,0.08,0.53,0.48,0.53,0.08,0.97,0.22,0.3,0.29,0.27,0.43,0.9,0.89,0.92,0.83,0.1,0.11,0.01,0.06,0.06,0.52,0.47,0.48,0.45,0.84,0.66,0.62,0.54,0.52,0.24,0.18,0.21,0.55,0.53,0.53,0.8,0.12,0.2,0.5,0.03,0.89,0.8,0.09,0.25,0.56,0.0,0.02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.51,0.49,0.19,0.0,0.0,0.69,0.34,0.72,0.77,0.65,0.04,0.25,0.05,0.0,0.13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WestFargocity,10,0.0,0.5,0.0,0.98,0.01,0.01,0.49,0.54,0.31,0.15,0.02,1.0,0.3,0.81,0.58,0.42,0.26,0.17,0.16,0.29,0.21,0.2,0.02,0.15,0.02,0.43,0.01,0.19,0.25,0.23,0.23,0.22,0.86,0.24,0.34,0.42,0.25,0.38,0.38,0.47,0.44,0.6,0.73,0.8,0.88,0.7,0.94,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.95,0.02,0.15,0.16,0.55,0.73,0.27,0.66,0.1,0.44,0.5,0.01,0.9,0.57,0.11,0.29,0.71,0.12,0.09,0.13,0.11,0.1,0.2,0.22,0.2,0.18,0.32,0.46,0.36,0.0,0.0,0.02,0.67,0.54,0.7,0.71,0.02,0.14,0.0,0.0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LaPuentecity,9,0.04,1.0,0.07,0.45,0.48,1.0,0.62,0.7,0.49,0.17,0.06,1.0,0.36,0.72,0.12,0.13,0.35,0.69,0.32,0.3,0.13,0.13,0.3,0.14,0.22,0.28,0.05,0.36,0.8,0.88,0.1,0.62,0.46,0.66,0.2,0.81,0.13,0.4,0.64,0.5,0.46,1.0,0.58,0.44,0.68,0.6,0.25,0.21,0.04,0.43,0.09,0.45,0.49,0.51,0.56,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.53,1.0,0.51,0.5,0.01,0.91,0.53,0.14,0.26,0.42,0.23,0.59,0.41,0.39,0.33,0.45,0.52,0.61,0.51,0.76,0.64,0.22,0.0,0.0,1.0,0.46,0.58,0.83,0.71,0.01,0.89,0.29,0.0,0.69,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
NewPortRicheycity,2,0.01,0.19,0.01,0.98,0.03,0.04,0.19,0.29,0.18,1.0,0.02,1.0,0.11,0.02,0.13,0.48,0.96,0.26,0.91,0.13,0.21,0.2,0.24,0.06,0.35,0.29,0.02,0.38,0.35,0.57,0.11,0.36,0.09,0.11,0.52,0.32,0.3,0.7,0.2,0.62,0.68,0.16,0.44,0.48,0.6,0.46,0.59,0.59,0.0,0.14,0.0,0.07,0.06,0.15,0.22,0.02,0.02,0.04,0.05,0.88,0.04,0.08,0.06,0.17,0.13,0.27,0.55,0.1,0.95,0.0,0.07,0.26,0.58,0.06,0.44,0.73,0.34,0.11,0.09,0.07,0.07,0.26,0.23,0.21,0.22,0.67,0.6,0.15,0.0,0.02,0.14,0.09,0.43,0.48,0.4,0.01,0.28,0.0,0.0,0.22,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mequoncity,9,0.01,0.63,0.05,0.95,0.08,0.01,0.45,0.34,0.26,0.34,0.03,1.0,0.81,0.77,0.63,0.93,0.38,0.08,0.39,0.76,0.76,0.75,0.53,0.02,0.15,0.57,0.0,0.04,0.12,0.1,0.8,0.12,0.62,0.4,0.63,0.17,0.82,0.08,0.31,0.11,0.1,0.51,0.97,0.98,0.93,0.8,0.47,0.37,0.0,0.03,0.0,0.11,0.17,0.31,0.27,0.03,0.04,0.06,0.05,0.92,0.04,0.19,0.22,0.62,0.6,0.45,0.94,0.01,0.12,0.5,0.01,0.89,0.93,0.1,0.54,0.65,0.0,0.26,0.33,0.36,0.41,0.36,0.47,0.64,0.43,0.45,0.39,0.36,0.0,0.0,0.09,0.68,0.6,0.42,0.64,0.13,0.03,0.06,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Plainfieldtown,3,0.0,0.36,0.01,0.99,0.02,0.01,0.32,0.42,0.25,0.49,0.0,0.0,0.38,0.59,0.64,0.53,0.48,0.13,0.56,0.39,0.35,0.33,0.44,0.16,0.23,0.32,0.0,0.11,0.11,0.25,0.29,0.09,0.63,0.29,0.39,0.36,0.42,0.43,0.21,0.5,0.49,0.37,0.72,0.76,0.85,0.61,0.63,0.71,0.0,0.05,0.0,0.62,0.46,0.38,0.32,0.03,0.02,0.02,0.01,0.98,0.03,0.09,0.09,0.38,0.45,0.27,0.65,0.04,0.46,0.5,0.01,0.89,0.6,0.0,0.34,0.56,0.22,0.36,0.14,0.13,0.13,0.25,0.29,0.31,0.32,0.27,0.2,0.21,0.0,0.0,0.02,0.73,0.49,0.5,0.7,0.01,0.23,0.01,0.0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LaMesacity,6,0.07,0.24,0.06,0.86,0.19,0.18,0.27,0.5,0.34,0.58,0.08,1.0,0.32,0.48,0.23,0.56,0.52,0.3,0.64,0.35,0.4,0.4,0.33,0.28,0.28,0.39,0.04,0.23,0.12,0.21,0.38,0.28,0.5,0.2,0.5,0.22,0.5,0.67,0.5,0.75,0.75,0.26,0.48,0.54,0.69,0.4,0.35,0.44,0.02,0.15,0.03,0.35,0.35,0.42,0.43,0.22,0.19,0.21,0.2,0.79,0.11,0.12,0.09,0.25,0.3,0.26,0.36,0.2,0.67,0.0,0.05,0.87,0.36,0.03,0.11,0.52,0.09,0.2,0.42,0.41,0.39,0.56,0.52,0.6,0.5,0.71,0.55,0.08,0.0,0.0,0.27,0.4,0.42,0.69,0.67,0.02,0.48,0.16,0.0,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bridgetoncity,8,0.01,0.53,0.72,0.31,0.05,0.18,0.43,0.51,0.32,0.5,0.0,0.0,0.17,0.31,0.1,0.29,0.6,0.83,0.55,0.18,0.18,0.25,0.2,0.06,0.44,0.19,0.04,0.67,0.58,0.73,0.13,0.67,0.3,0.52,0.47,0.74,0.23,0.63,0.61,0.65,0.67,0.61,0.07,0.07,0.14,0.0,0.46,0.45,0.05,1.0,0.0,0.14,0.2,0.22,0.27,0.03,0.04,0.04,0.05,0.82,0.1,0.52,0.46,0.53,0.48,0.59,0.37,0.27,0.53,0.5,0.02,0.78,0.41,1.0,0.79,0.23,0.67,0.28,0.07,0.08,0.09,0.13,0.27,0.3,0.29,0.58,0.29,0.56,0.01,0.0,0.09,0.71,0.64,0.88,0.84,0.02,0.25,0.21,0.0,0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
